"Food Scarcity, Household Pulse Survey","","","","","","",""
"Adults in households where there was either sometimes or often not enough to eat in the last 7 days","","","","","","",""
"","","Total Food Scarcity","","Percent Food Scarcity","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"39","United States","19859009","1116265","9.4","0.5","212211601","250265449"
"39","Alabama","342222","86055","11.9","2.8","2878981","3737637"
"39","Alaska","51354","16420","10.9","3.5","469241","525308"
"39","Arizona","525189","138224","10.4","2.7","5063106","5753909"
"39","Arkansas","192507","58649","10.1","3.1","1913266","2264877"
"39","California","2502044","419033","10.2","1.7","24620780","29807656"
"39","Colorado","315170","85818","8","2.1","3948034","4504323"
"39","Connecticut","171718","54863","7","2.3","2441991","2724164"
"39","Delaware","63987","19760","9.4","2.8","679077","767878"
"39","District of Columbia","49991","14529","10.1","2.8","496274","546656"
"39","Florida","1421241","371191","9.9","2.4","14413879","17254676"
"39","Georgia","978921","331949","14.1","4.7","6952977","8033423"
"39","Hawaii","73687","23358","7.9","2.5","927648","1065941"
"39","Idaho","88323","22428","7.3","1.9","1207554","1382940"
"39","Illinois","565922","234028","7.3","2.9","7742196","9479736"
"39","Indiana","375174","114838","8.7","2.7","4327319","5029256"
"39","Iowa","177233","52496","9","2.6","1960462","2349714"
"39","Kansas","156952","53092","8","2.7","1965129","2146524"
"39","Kentucky","330379","111113","11.7","3.8","2822235","3358135"
"39","Louisiana","375240","111763","13.5","3.8","2786217","3432241"
"39","Maine","46720","23701","4.9","2.5","955619","1073016"
"39","Maryland","287382","67968","7.1","1.7","4061118","4585752"
"39","Massachusetts","421066","93155","8.9","1.9","4721730","5309617"
"39","Michigan","544030","122829","8.7","1.9","6287925","7631231"
"39","Minnesota","149060","48632","4.1","1.3","3634312","4250165"
"39","Mississippi","216740","68236","12.4","3.8","1750799","2186321"
"39","Missouri","370162","104795","9","2.5","4104347","4638839"
"39","Montana","48371","28187","6.5","3.7","746586","834511"
"39","Nebraska","79306","23664","6.3","1.9","1254156","1420835"
"39","Nevada","128724","32066","6","1.5","2147670","2450986"
"39","New Hampshire","62759","24031","6.3","2.4","988761","1080887"
"39","New Jersey","500022","173076","8.9","3","5638582","6767278"
"39","New Mexico","145737","40212","10.1","2.7","1439855","1604259"
"39","New York","1171123","358544","9.7","2.9","12118153","14714964"
"39","North Carolina","842028","277534","12","3.9","7012959","8121448"
"39","North Dakota","22856","10757","4.6","2.2","494036","560525"
"39","Ohio","551601","155741","7.2","2","7613413","8833555"
"39","Oklahoma","424875","100517","16.5","3.8","2569129","2941764"
"39","Oregon","258287","60898","8.8","2","2949023","3326774"
"39","Pennsylvania","616836","187069","7.4","2.2","8370318","9760505"
"39","Rhode Island","86977","26885","12.3","3.7","708560","815717"
"39","South Carolina","291272","79287","8.9","2.4","3256515","4033193"
"39","South Dakota","45292","19692","8","3.4","567967","648348"
"39","Tennessee","402051","122485","9.2","2.8","4388144","5279261"
"39","Texas","2158933","390028","11.9","2.1","18127596","21688354"
