"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Real Gross Domestic Product (GDP) (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"00000","United States",18833195,18982528,19112653,19202310,18951992,17258205,18560774,18767778,19055655,19368310
"01000","Alabama",201651.7,203045.8,203931.3,204906.8,203561.0,184303.7,199018.5,200741.1,201938.1,203961.8
"02000","Alaska",53011.3,53281.7,53565.7,53487.3,52800.9,47143.2,50102.0,50597.8,50024.9,50251.6
"04000","Arizona",322319.9,323877.9,324278.1,325101.5,331068.7,301462.7,323445.9,326225.2,326852.2,331353.4
"05000","Arkansas",115766.1,116427.2,117147.5,117822.9,118650.7,107249.5,116255.4,117618.3,119680.2,120905.3
"06000","California",2701573.9,2735923.6,2755341.2,2764535.1,2753260.2,2505762.2,2693845.4,2701795.9,2777816.6,2832619.1
"08000","Colorado",351734.5,356698.0,358131.0,360530.9,357918.9,326237.5,347703.6,352184.9,358440.7,364737.0
"09000","Connecticut",249271.1,251448.8,252395.7,252864.9,244064.7,220981.8,237296.8,241211.0,242303.0,245803.0
"10000","Delaware",63140.4,64044.9,64582.6,65281.8,63224.2,58832.7,62471.2,63696.9,63113.1,63553.4
"11000","District of Columbia",123272.1,124535.6,125638.8,126514.7,124718.0,117581.2,122709.2,124359.9,123849.6,126020.3
"12000","Florida",963489.6,969088.8,975222.6,978675.7,974511.8,887928.8,952763.1,960799.5,978296.7,994182.3
"13000","Georgia",552440.7,557416.9,560946.2,562305.1,553333.3,506200.8,540890.6,546347.5,555602.2,563805.4
"15000","Hawaii",78796.6,78911.7,79316.8,79676.4,73677.6,65969.8,71039.0,71814.2,72725.4,74287.7
"16000","Idaho",73634.6,73953.0,73908.2,74152.1,76723.5,68672.4,74514.3,74711.5,76060.3,76806.5
"17000","Illinois",771694.5,776446.6,780601.9,781872.4,761034.4,692468.5,743469.3,753602.1,767664.4,780343.7
"18000","Indiana",335224.5,337226.4,339416.9,341532.5,339975.7,305980.9,334686.8,338809.8,346539.2,351736.7
"19000","Iowa",170181.4,171787.5,173827.3,175827.6,172170.9,158346.1,171642.9,175521.2,179194.2,182531.6
"20000","Kansas",158115.2,159822.6,161031.9,161759.5,161415.3,146026.6,158622.9,161015.6,162391.8,164823.9
"21000","Kentucky",189484.3,190770.7,192198.8,192968.2,190721.1,172796.7,188221.9,190400.8,192983.5,196041.7
"22000","Louisiana",233744.2,235144.4,237277.6,237624.1,230452.2,208002.7,224517.6,226214.7,226605.8,228814.4
"23000","Maine",58867.9,59214.9,59613.3,60039.7,60497.3,54976.6,59498.8,60056.7,60257.5,61073.7
"24000","Maryland",366527.2,369496.5,371270.1,371202.0,364503.5,333950.3,355060.1,358696.2,366429.9,371915.1
"25000","Massachusetts",510102.9,516669.5,520154.6,523981.4,514080.3,468363.0,505062.0,506802.5,514306.6,524342.2
"26000","Michigan",465000.6,465322.7,468648.1,470229.5,458069.1,415504.2,451811.7,457345.4,460489.7,469793.3
"27000","Minnesota",338210.1,339317.8,341054.8,341939.0,335919.7,306536.9,329763.3,334322.6,338671.5,344050.8
"28000","Mississippi",100210.9,100981.6,101951.7,102956.3,103120.7,92330.4,100991.7,102227.0,102726.6,103872.1
"29000","Missouri",288404.7,290183.5,291750.3,293029.6,290839.0,265049.9,285524.6,289203.3,292547.6,297315.1
"30000","Montana",46603.2,46706.8,46877.2,46965.0,47879.4,43493.8,46515.5,46743.7,48005.1,48650.4
"31000","Nebraska",117088.0,117608.1,118729.9,119720.0,120272.4,109678.1,118677.1,122032.1,123932.3,124817.8
"32000","Nevada",155886.5,156610.3,157544.5,157274.0,154831.1,132862.6,145872.5,147310.1,149542.2,153028.4
"33000","New Hampshire",76565.9,76838.6,77321.3,77780.3,78447.3,70141.5,76292.4,77291.3,77761.9,78835.9
"34000","New Jersey",555137.4,560023.9,564799.4,567410.5,555210.3,502102.3,539546.7,546320.1,556834.0,565519.9
"35000","New Mexico",93315.8,94297.5,95428.2,96447.6,95582.3,87432.1,93503.5,94268.2,94450.3,95668.9
"36000","New York",1475640.6,1490477.7,1499727.6,1513100.0,1447430.7,1344389.4,1432423.4,1456320.5,1481618.6,1510827.4
"37000","North Carolina",511376.6,513795.7,515943.2,517384.1,515915.6,467612.2,503863.5,510678.6,522428.0,530374.1
"38000","North Dakota",55621.6,55829.6,56441.3,57095.3,55452.4,51957.6,55147.1,55767.3,57129.7,57906.3
