"Difficulty Paying for Usual Household Expenses, Household Pulse Survey","","","","","","",""
"Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days","","","","","","",""
"","","Total Difficulty Paying for Usual Household Expenses","","Percent Difficulty Paying for Usual Household Expenses","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"13","United States","76520073","979147","31.9","0.4","239811862","249170916"
"13","Alabama","1221765","85345","34.2","2.4","3575524","3717378"
"13","Alaska","149491","12677","29.1","2.5","513750","524925"
"13","Arizona","1751978","136136","32.5","2.5","5385918","5597268"
"13","Arkansas","640963","69137","29.8","3.1","2151176","2246527"
"13","California","9974461","581292","34.7","2","28715364","29939021"
"13","Colorado","1256010","94175","28.9","2.2","4345521","4454718"
"13","Connecticut","787597","83757","29.8","3.2","2640212","2732423"
"13","Delaware","198171","24307","27","3.3","734381","754637"
"13","District of Columbia","152065","22038","29","4.1","524425","542635"
"13","Florida","6267797","384088","38","2.2","16478563","17085385"
"13","Georgia","2577329","205240","34.1","2.6","7563321","7955983"
"13","Hawaii","393173","40537","37.3","3.9","1053401","1073229"
"13","Idaho","311217","34120","23.9","2.6","1302468","1343198"
"13","Illinois","2976879","222624","32.4","2.4","9178831","9546424"
"13","Indiana","1580175","122513","32.8","2.5","4823564","5015550"
"13","Iowa","599455","52577","26.6","2.3","2253298","2342905"
"13","Kansas","585623","55820","28.2","2.6","2078862","2140957"
"13","Kentucky","1055201","104182","32.1","3.1","3283296","3344102"
"13","Louisiana","1356518","114058","41.1","3.4","3300648","3431432"
"13","Maine","269428","34097","26.1","3.2","1031686","1065620"
"13","Maryland","1418065","114129","31.8","2.5","4460018","4586920"
"13","Massachusetts","1455704","123393","28.2","2.3","5162044","5324065"
"13","Michigan","2305452","186851","31.4","2.5","7343093","7644458"
"13","Minnesota","956564","83807","23.1","2","4135517","4241624"
"13","Mississippi","730760","73984","34.9","3.5","2096177","2189670"
"13","Missouri","1284560","115914","28.9","2.5","4444584","4617880"
"13","Montana","218465","24564","27.2","3","803142","822204"
"13","Nebraska","358214","43042","26","3.1","1377620","1418191"
"13","Nevada","858102","77631","36.8","3.3","2328740","2399457"
"13","New Hampshire","220558","23118","21.1","2.2","1044635","1073014"
"13","New Jersey","2123036","204394","32.5","3.1","6523048","6776822"
"13","New Mexico","554228","55435","35.8","3.6","1547178","1589574"
"13","New York","4507030","367656","32.6","2.6","13826047","14847080"
"13","North Carolina","2368309","201577","30.5","2.6","7759110","8017566"
"13","North Dakota","138900","19079","25.4","3.4","547635","561016"
"13","Ohio","2349826","228523","27.8","2.7","8441573","8822539"
"13","Oklahoma","1028217","84291","36.1","2.9","2851157","2916436"
"13","Oregon","932672","60848","29.2","1.8","3188826","3302727"
"13","Pennsylvania","2577327","191470","27.4","2.1","9409264","9776154"
"13","Rhode Island","246102","28096","31.4","3.5","784294","817559"
"13","South Carolina","1193787","95024","31.4","2.5","3807882","3969123"
"13","South Dakota","156415","19881","25.2","3.2","621650","642658"
"13","Tennessee","1476492","128230","29.4","2.4","5014126","5221475"
"13","Texas","7470307","429640","36.2","2","20616038","21356906"
"13","Utah","558910","41909","25","1.8","2238270","2281207"
"13","Vermont","106794","13972","22.6","2.9","473039","485485"
"13","Virginia","1812896","128577","29.1","2","6234808","6472737"
"13","Washington","1505010","123597","26.2","2.2","5738723","5890357"
"13","West Virginia","412121","52444","31","4","1329908","1379576"
"13","Wisconsin","973448","83537","22.6","1.9","4305087","4438719"
"13","Wyoming","116507","14331","27.5","3.4","424420","433400"
"13","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","1533334","139698","35.5","3","4315144","4519037"
"13","Boston-Cambridge-Newton, MA-NH Metro Area","866868","93083","24.8","2.3","3493608","3585147"
"13","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","2235418","184279","33.7","2.4","6626447","6906339"
"13","Dallas-Fort Worth-Arlington, TX Metro Area","1819676","206657","33.7","2.8","5402189","5594763"
"13","Detroit-Warren-Dearborn, MI Metro Area","1127132","126810","34","3.2","3312996","3466853"
"13","Houston-The Woodlands-Sugar Land, TX Metro Area","1919961","235304","38.1","3","5036972","5234056"
"13","Los Angeles-Long Beach-Anaheim, CA Metro Area","3482395","402351","36.6","3.5","9524596","9880557"
"13","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","2062795","206911","43.5","3.2","4743308","4939185"
"13","New York-Newark-Jersey City, NY-NJ-PA Metro Area","4423661","345039","33","2.3","13384882","14351823"
"13","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1420358","143403","28.9","2.2","4912388","5063754"
"13","Phoenix-Mesa-Chandler, AZ Metro Area","1148854","120978","31.6","3.1","3638503","3770606"
"13","Riverside-San Bernardino-Ontario, CA Metro Area","1662205","231962","41.2","4.5","4035423","4232392"
"13","San Francisco-Oakland-Berkeley, CA Metro Area","952873","160115","27.4","3.8","3473947","3608596"
"13","Seattle-Tacoma-Bellevue, WA Metro Area","724517","73920","24.1","2.1","3005254","3103898"
"13","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","1278476","138425","28.6","2.6","4475856","4614223"
"14","United States","78328774","1336568","32.7","0.6","239830624","249170916"
"14","Alabama","1153478","102818","32.9","2.9","3505754","3717378"
"14","Alaska","143275","12313","28.1","2.5","509578","524925"
"14","Arizona","1737184","108819","32.1","2","5415048","5597268"
"14","Arkansas","706676","74263","32.5","3.4","2171977","2246527"
"14","California","10350508","529524","36.3","1.9","28519196","29939021"
"14","Colorado","1296354","124753","30.2","2.8","4288478","4454718"
"14","Connecticut","825135","73969","31.5","2.7","2618189","2732423"
"14","Delaware","212263","25131","29.1","3.4","730643","754637"
"14","District of Columbia","160217","23204","30.4","4.3","526979","542635"
"14","Florida","6084864","426890","37","2.6","16423952","17085385"
"14","Georgia","2763144","212342","36.3","2.6","7601753","7955983"
"14","Hawaii","375276","30825","36.1","3","1039215","1073229"
"14","Idaho","360905","28102","27.6","2.1","1308332","1343198"
"14","Illinois","3051081","204945","33.4","2.3","9130443","9546424"
"14","Indiana","1416165","105505","29","2.2","4879182","5015550"
"14","Iowa","615110","58947","27.2","2.6","2264459","2342905"
"14","Kansas","578437","41340","27.8","2","2082614","2140957"
"14","Kentucky","1068213","93988","33","2.8","3237007","3344102"
"14","Louisiana","1310971","100745","39.6","3","3307761","3431432"
"14","Maine","248751","38242","24.3","3.7","1022435","1065620"
