state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson
2,AL,2015,4853875,22957,348,1449.0,2037.0,4612,15960,144785,35265,99182,10338,770
2,AL,2017,4875120,25469,419,,2001.0,4233,18816,143774,31270,99707,12797,703
2,AL,2010,4785401,18363,275,1355.0,,4864,11869,168828,42484,115564,10780,738
2,AL,2011,4803689,20166,299,1370.0,,4906,13591,173192,51119,111411,10662,795
2,AL,2012,4817528,21693,342,1296.0,,5020,15035,168878,47481,111523,9874,1040
2,AL,2013,4833996,20834,346,1449.0,2055.0,4645,13788,161835,42410,108862,10563,761
2,AL,2014,4846411,20727,276,1425.0,2005.0,4702,13744,154087,39723,104223,10141,1245
2,AL,2016,4860545,25878,407,1380.0,1915.0,4687,18869,143259,34045,97498,11716,1054
2,AL,2018,4887681,25567,383,,2032.0,4047,19105,138702,29101,96328,13273,782
2,AL,2019,4907965,24769,390,,2119.0,3922,18338,128726,24805,91225,12696,2
2,AL,2020,4921532,22322,471,,1608.0,2666,17577,105161,19660,74575,10926,34
1,AK,2010,714146,4537,31,533.0,,594,3379,20259,3105,15535,1619,178
1,AK,2011,723860,4416,30,436.0,,576,3374,19094,2852,14854,1388,222
1,AK,2012,730307,4412,30,583.0,,630,3169,20037,2950,15565,1522,187
1,AK,2015,737709,5391,59,648.0,900.0,761,3671,20806,3511,15249,2046,182
1,AK,2013,737259,4709,34,657.0,925.0,623,3127,21211,2917,16599,1695,154
1,AK,2014,737046,4684,41,553.0,771.0,629,3243,20334,3150,15445,1739,145
1,AK,2017,739786,6338,62,,1074.0,952,4250,26203,4167,17782,4254,139
1,AK,2016,741522,5966,52,754.0,1053.0,850,4011,24876,4053,17766,3057,144
1,AK,2018,735139,6555,47,,1212.0,896,4400,24345,3985,16364,3996,127
1,AK,2019,733603,6346,69,,1102.0,826,4349,21293,3558,15118,2617,208
1,AK,2020,731158,6126,49,,1132.0,712,4233,16528,2775,11784,1969,140
5,AZ,2014,6728783,26422,311,2356.0,3272.0,6225,16614,213406,43412,152683,17311,1764
5,AZ,2013,6634997,27576,355,2344.0,3174.0,6656,17391,223294,48292,158036,16966,1748
5,AZ,2015,6817565,27968,306,2268.0,3109.0,6360,18193,207184,38010,152388,16786,1190
5,AZ,2017,7048876,35647,422,,3622.0,7440,24163,204999,37722,148251,19026,1191
5,AZ,2010,6413158,26528,408,2191.0,,6953,16976,226802,50932,154137,21733,1831
5,AZ,2011,6467315,26789,397,2499.0,,7145,16748,229896,54695,155400,19801,1745
5,AZ,2012,6551149,28077,358,2282.0,,7383,18054,231701,52911,159808,18982,1957
5,AZ,2016,6908642,32542,389,2461.0,3304.0,7045,21804,207317,38216,150618,18483,1144
5,AZ,2018,7158024,34053,383,,3605.0,6509,23556,192730,31787,141789,19154,1709
5,AZ,2019,7291843,32603,397,,3650.0,6305,22251,177628,29170,130427,18031,938
5,AZ,2020,7421401,35980,513,,3263.0,6211,25993,165323,24488,122898,17937,1279
3,AR,2017,3002997,16996,249,,2140.0,1998,12609,94419,22369,64795,7255,540
3,AR,2010,2921588,14711,134,1321.0,,2369,10887,103820,32463,65796,5561,636
3,AR,2011,2938582,14173,160,1230.0,,2357,10426,110430,34016,70645,5769,612
3,AR,2012,2949828,13851,174,1233.0,,2310,10134,109389,32673,70982,5734,567
3,AR,2015,2977853,15769,189,1425.0,2008.0,2117,11455,97391,22851,68720,5820,493
3,AR,2013,2958765,13705,158,1135.0,1490.0,2261,9796,106477,30369,70430,5678,523
3,AR,2014,2966835,14248,175,1291.0,1816.0,2037,10220,99452,24816,69001,5635,460
