state,per_100k,std_dev,zscore,percentile
VT,324.68895637691907,419.9936053556361,-1.7271451234509356,0.9579291982867406
ME,426.97996636716164,419.9936053556361,-1.4835913914753593,0.9310413227221221
WA,452.0665761573134,419.9936053556361,-1.4238604587414925,0.9227565649646331
HI,486.2324611704624,419.9936053556361,-1.34251187491194,0.9102849586613808
OR,486.82449207694793,419.9936053556361,-1.3411022560536139,0.910056372533596
RI,548.6709696467674,419.9936053556361,-1.1938464960106725,0.883730990033756
NH,558.8267107262352,419.9936053556361,-1.1696657919476467,0.8789322552446831
MA,606.6358962701836,419.9936053556361,-1.0558326646468985,0.854477664053152
MN,686.849053026254,419.9936053556361,-0.8648460502479753,0.8064383540239457
AK,698.1269200194712,419.9936053556361,-0.8379935771402777,0.7989828446128904
VA,698.89066573611,419.9936053556361,-0.8361751072709754,0.7984717999328392
CT,752.1192786133118,419.9936053556361,-0.7094383850960516,0.7609737627197064
UT,776.9249202840431,419.9936053556361,-0.65037643426057,0.7422754521799002
MD,808.599461505686,419.9936053556361,-0.5749597116778011,0.7173407276491026
CA,824.303611216923,419.9936053556361,-0.537568309735052,0.7045624432768121
NJ,865.7988152430715,419.9936053556361,-0.43876870065288065,0.669585429198982
NY,867.040448835614,419.9936053556361,-0.435812385183527,0.6685135714233048
IL,872.9048208204046,419.9936053556361,-0.421849382152029,0.6634325207542793
NC,880.4730698772763,419.9936053556361,-0.40382946718103024,0.6568309370117342
NE,883.0468864707897,419.9936053556361,-0.3977012391301914,0.6545747880389593
ID,885.5933263226807,419.9936053556361,-0.3916381947899453,0.6523372187870491
CO,938.771820010482,419.9936053556361,-0.2650208058352455,0.604503283009896
DE,957.525041719363,419.9936053556361,-0.2203695981269723,0.5872083396936979
IA,974.4013936945852,419.9936053556361,-0.18018719591889137,0.571497194954193
PA,989.3099125566229,419.9936053556361,-0.14469018198361097,0.557522254387657
MI,1035.700821973596,419.9936053556361,-0.03423395401868531,0.5136547044951678
SC,1097.7791019698443,419.9936053556361,0.11357372496652815,0.45478785849472025
NM,1103.83740995371,419.9936053556361,0.12799848740722228,0.4490750850347935
ND,1130.2872310658277,419.9936053556361,0.19097521080214364,0.42427250730718724
KS,1145.0093264530885,419.9936053556361,0.2260283525631824,0.41058968436707105
MO,1159.740194540524,419.9936053556361,0.26110238202361175,0.39700677739654006
OH,1165.7833485091844,419.9936053556361,0.27549106292636794,0.3914694955176764
TN,1173.4752938861268,419.9936053556361,0.293805497429315,0.38445326702892646
IN,1186.702051778432,419.9936053556361,0.32529825761337827,0.37247767472257465
WV,1188.6497082035282,419.9936053556361,0.32993560542120276,0.3707243096332569
MS,1257.4296444205359,419.9936053556361,0.493699851685779,0.31075908499696603
SD,1263.2702017781196,419.9936053556361,0.5076061523606147,0.3058647875651586
AZ,1280.4303207913526,419.9936053556361,0.5484642006604273,0.291686602035897
NV,1283.702257349867,419.9936053556361,0.5562546444119313,0.2890183940887694
WI,1294.4460525596915,419.9936053556361,0.5818354986745263,0.2803387452225581
LA,1346.313257647404,419.9936053556361,0.7053307243787207,0.2403022221909527
TX,1349.5768901585338,419.9936053556361,0.7131013962877994,0.23789150777522838
WY,1410.2428530071024,419.9936053556361,0.8575463641991532,0.1955715013772289
AR,1420.0119275157695,419.9936053556361,0.880806419552603,0.18921130228342897
FL,1539.2335483019067,419.9936053556361,1.1646717433714846,0.12207594549455258
GA,1558.2191333234005,419.9936053556361,1.2098762054856576,0.11316319945754477
AL,1564.3239557357383,419.9936053556361,1.2244117182517829,0.11039847547515591
MT,1795.5682630450322,419.9936053556361,1.775001785244551,0.03794879620723591
OK,1951.9350762611973,419.9936053556361,2.147309389984769,0.015884329386214927
KY,2550.6698423999455,419.9936053556361,3.5728900619375246,0.0001765315064962034
