state,overall_score,reading_testing_ed_score,math_testing_ed_score,enrollment_score,missing_categories,index_!!reading_testing_ed,state_!!reading_testing_ed,student_n_!!reading_testing_ed,std_dev_!!reading_testing_ed,percentile_!!reading_testing_ed,group_!!reading_testing_ed,score_!!reading_testing_ed,index_!!math_testing_ed,state_!!math_testing_ed,student_n_!!math_testing_ed,std_dev_!!math_testing_ed,percentile_!!math_testing_ed,group_!!math_testing_ed,score_!!math_testing_ed,state_!!enrollment,enrollment_1920_!!enrollment,enrollment_2021_!!enrollment,enrollment_change_!!enrollment,Unnamed: 4_!!enrollment,std_dev_!!enrollment,zscore_!!enrollment,percentile_!!enrollment,score_!!enrollment
SD,99.33679629071526,33.333333,33.333333,32.67013029071526,,20.0,SD,32210.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,20.0,SD,10056.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,SD,136637.0,136390.0,-0.001807709,,0.009828542394102564,2.055899929207146,0.9801039185224968,32.67013029071526
OK,97.73791863205889,33.333333,33.333333,31.07125263205888,,39.0,OK,76671.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,41.0,OK,49723.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,OK,661816.0,656951.0,-0.007350986,,0.009828542394102564,1.4919020567122236,0.9321375882831422,31.07125263205888
ID,96.67698710140576,33.333333,33.333333,30.010321101405754,,42.0,ID,15919.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,46.0,ID,11975.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,ID,307412.0,304522.0,-0.009401064,,0.009828542394102564,1.2833179230943932,0.900309642045269,30.010321101405754
NE,95.1530685757974,33.333333,33.333333,28.486402575797396,,41.0,NE,11209.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,44.0,NE,4699.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,NE,310523.0,306911.0,-0.011631989,,0.009828542394102564,1.0563336043068356,0.8545920858198427,28.486402575797396
PA,92.53787717936838,33.333333,33.333333,25.871211179368377,,27.0,PA,55784.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,38.0,PA,38484.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,PA,1722341.0,1697277.0,-0.014552287,,0.009828542394102564,0.7592093835523653,0.7761363431424146,25.871211179368377
LA,86.4955208080649,33.333333,33.333333,19.828854808064897,,47.0,LA,52491.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,42.0,LA,29396.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,LA,683454.0,670021.0,-0.019654578,,0.009828542394102564,0.24007940522907562,0.5948656501906033,19.828854808064897
ND,86.41538805995258,22.222222000000002,33.333333,30.859833059952575,,4.0,ND,32406.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,12.0,ND,21858.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,ND,113056.0,112173.0,-0.007810289,,0.009828542394102564,1.445170508779379,0.9257950010565271,30.859833059952575
AL,84.38586941676692,33.333333,22.222222000000002,28.83031441676691,,37.0,AL,61728.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,37.0,AL,46722.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,AL,724178.0,716084.0,-0.01117681,,0.009828542394102564,1.1026455579769059,0.8649094411521017,28.83031441676691
MT,82.73295705320132,33.333333,33.333333,16.06629105320131,,45.0,MT,12480.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,43.0,MT,10554.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,MT,148009.0,144685.0,-0.022458094,,0.009828542394102564,-0.045162890890255415,0.48198873641592666,16.06629105320131
KS,78.58456981639576,33.333333,33.333333,11.917903816395754,,46.0,KS,17177.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,45.0,KS,13099.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,KS,471172.0,459109.0,-0.025602116,,0.009828542394102564,-0.3650497951667748,0.35753711806724375,11.917903816395754
FL,76.01443139887567,33.333333,22.222222000000002,20.458876398875667,,44.0,FL,240466.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,40.0,FL,184747.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,FL,2792884.0,2739338.0,-0.019172296,,0.009828542394102564,0.2891489397197021,0.6137662981039329,20.458876398875667
GA,75.80784157414485,33.333333,22.222222000000002,20.252286574144843,,32.0,GA,80168.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,33.0,GA,80941.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,GA,1719609.0,1686367.0,-0.019331139,,0.009828542394102564,0.27298754023331306,0.6075686033000313,20.252286574144843
MN,75.12049565806853,22.222222000000002,33.333333,19.56494065806853,,11.0,MN,48021.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,14.0,MN,27786.0,0.052257483187983685,1.0,Little or no learning loss,33.333333,MN,867999.0,850765.0,-0.019854862,,0.009828542394102564,0.21970161247313466,0.586948225611538,19.56494065806853
DE,72.21765276702351,22.222222000000002,22.222222000000002,27.7732087670235,,21.0,DE,5772.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,22.0,DE,5395.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,DE,137716.0,135993.0,-0.012511255,,0.009828542394102564,0.9668731365443333,0.8331962713426677,27.7732087670235
CT,72.00208614584771,33.333333,22.222222000000002,16.446531145847704,,25.0,CT,12633.0,0.02995042520964488,1.0,Little or no learning loss,33.333333,29.0,CT,12277.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,CT,505210.0,494006.0,-0.022176917,,0.009828542394102564,-0.016554681379075446,0.49339593930939046,16.446531145847704
