state,tot_death,state_y,population,pop_over_85_pct,pop_75_84_pct,pop_65_74_pct,pop_50_64_pct,pop_40_49_pct,pop_30_39pct,pop_under_30_pct,Estimate!!Percent!!Total population!!AGE!!Under 5 years,Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Estimate!!Percent!!Total population!!AGE!!25 to 29 years,Estimate!!Percent!!Total population!!AGE!!30 to 34 years,Estimate!!Percent!!Total population!!AGE!!35 to 39 years,Estimate!!Percent!!Total population!!AGE!!40 to 44 years,Estimate!!Percent!!Total population!!AGE!!45 to 49 years,Estimate!!Percent!!Total population!!AGE!!50 to 54 years,Estimate!!Percent!!Total population!!AGE!!55 to 59 years,Estimate!!Percent!!Total population!!AGE!!60 to 64 years,Estimate!!Percent!!Total population!!AGE!!65 to 69 years,Estimate!!Percent!!Total population!!AGE!!70 to 74 years,Estimate!!Percent!!Total population!!AGE!!75 to 79 years,Estimate!!Percent!!Total population!!AGE!!80 to 84 years,Estimate!!Percent!!Total population!!AGE!!85 years and over,state_abbrv,deaths_per_capita,per_100k,std_dev,zscore,percentile
VT,388,Vermont,643077,2.3,5.7,12.0,21.8,11.6,11.5,35.1,4.7,5.0,5.1,6.9,6.9,6.5,5.8,5.7,5.7,5.9,6.6,7.1,8.1,6.6,5.4,3.6,2.1,2.3,VT,0.0006033492101256925,60.33492101256926,68.70787109200695,-2.3535484228280117,0.990702407122589
HI,1004,Hawaii,1455271,2.7,5.5,10.8,18.6,11.8,13.9,36.7,6.0,6.0,5.8,5.5,6.3,7.1,6.7,7.2,5.9,5.9,6.0,6.2,6.4,6.0,4.8,3.5,2.0,2.7,HI,0.0006899058663300512,68.99058663300511,68.70787109200695,-2.2275706347978015,0.9870454196569434
ME,1303,Maine,1362359,2.6,6.0,12.6,22.6,12.0,11.9,32.3,4.7,4.8,5.4,5.8,5.5,6.1,6.1,5.8,5.7,6.3,6.9,7.6,8.1,6.9,5.7,3.7,2.3,2.6,ME,0.0009564292524951206,95.64292524951205,68.70787109200695,-1.8396625510090217,0.9670911025946279
UT,3487,Utah,3271616,1.1,3.4,6.8,14.2,12.1,14.1,48.1,7.7,8.0,8.3,8.0,8.3,7.8,6.9,7.2,6.6,5.5,4.8,4.6,4.8,3.8,3.0,2.0,1.4,1.1,UT,0.0010658341321230854,106.58341321230853,68.70787109200695,-1.6804306058342682,0.9535632172992852
AK,847,Alaska,733391,0.9,3.0,8.4,19.1,11.8,14.6,42.2,7.0,7.2,6.8,6.4,6.5,8.3,7.9,6.7,6.0,5.8,6.1,6.7,6.3,4.9,3.5,1.9,1.1,0.9,AK,0.001154909182141586,115.49091821415861,68.70787109200695,-1.5507874534518866,0.9395236858414578
WA,9208,Washington,7705281,1.7,4.5,9.6,18.6,12.6,14.7,38.2,6.0,6.0,6.3,6.0,6.2,7.7,7.6,7.1,6.4,6.2,6.0,6.3,6.3,5.3,4.3,2.8,1.7,1.7,WA,0.0011950245552368563,119.50245552368563,68.70787109200695,-1.4924020422061335,0.9322031100034903
OR,5116,Oregon,4237256,2.0,5.0,11.0,18.7,12.7,14.3,36.1,5.3,5.6,6.0,5.9,6.3,7.0,7.1,7.2,6.5,6.2,5.9,6.2,6.6,6.0,5.0,3.1,1.9,2.0,OR,0.0012073851568090291,120.7385156809029,68.70787109200695,-1.474411961338076,0.9298146470774188
NH,1683,New Hampshire,1377529,2.1,5.3,11.2,22.8,12.1,12.1,34.1,4.7,4.9,5.6,6.4,6.2,6.3,6.2,5.9,5.8,6.3,7.1,8.1,7.6,6.2,5.0,3.2,2.1,2.1,NH,0.0012217528632791034,122.17528632791033,68.70787109200695,-1.4535006650895945,0.9269576024185741
CO,9100,Colorado,5773714,1.5,4.0,9.1,18.2,12.8,15.3,39.0,5.7,6.0,6.4,6.3,6.6,8.0,7.8,7.5,6.5,6.3,5.9,6.2,6.1,5.1,4.0,2.5,1.5,1.5,CO,0.0015761085498866068,157.61085498866066,68.70787109200695,-0.9377581730351044,0.8258156496383235
NE,3146,Nebraska,1961504,2.1,4.7,9.2,18.1,11.3,13.4,41.1,6.7,6.8,7.1,6.8,6.9,6.8,6.6,6.8,5.8,5.5,5.6,6.2,6.3,5.1,4.1,2.7,2.0,2.1,NE,0.0016038713150725158,160.38713150725158,68.70787109200695,-0.8973512083822017,0.8152342303353861
