Abbr,overall_score_health,hospitalizations_score,deaths_score,vax_score,covid_testing_score,hospitalizations_raw,deaths_raw,vax_raw,covid_testing_raw,rank_health,overall_score_social,food_score,expenses_score,violent_crime_score,food_raw,expenses_raw,violent_crime_raw,rank_social,overall_score_economy,gdp_score,unemp_score,jobs_score,gdp_raw,unemp_raw,jobs_raw,rank_economy,total_score,total_rank,Name
VT,98.0,24.0,25.0,25.0,25.0,324.7,60.3,171302.5,1287.5,1.0,62.0,19.0,10.0,33.0,7.5,1.7,-16.4,14.0,29.0,10.0,15.0,4.0,-3.5,101.4,-9.2,42.0,63.0,7.0,Vermont
ME,93.0,23.0,24.0,24.0,22.0,427.0,95.6,161394.2,526.1,2.0,57.0,10.0,18.0,29.0,28.7,-2.5,-6.1,18.0,58.0,27.0,15.0,16.0,-0.4,101.2,-5.9,21.0,69.0,2.0,Maine
NH,85.0,22.0,23.0,22.0,18.0,558.8,122.2,153617.4,382.6,3.0,35.0,5.0,0.0,30.0,43.2,13.1,-7.1,41.0,53.0,23.0,14.0,16.0,-1.3,102.9,-6.0,26.0,58.0,11.0,New Hampshire
HI,83.0,23.0,25.0,18.0,18.0,486.2,69.0,142242.1,372.6,4.0,89.0,28.0,32.0,28.0,-16.5,-14.0,-4.5,1.0,0.0,0.0,0.0,0.0,-10.1,348.0,-16.4,50.0,57.0,12.0,Hawaii
WA,79.0,23.0,23.0,20.0,13.0,452.1,119.5,145718.3,271.9,5.0,65.0,18.0,21.0,26.0,9.7,-4.1,-2.2,11.0,73.0,31.0,21.0,21.0,1.1,76.1,-4.8,9.0,73.0,1.0,Washington
OR,79.0,23.0,23.0,19.0,14.0,486.8,120.7,144491.8,278.5,6.0,54.0,10.0,21.0,23.0,28.1,-3.8,-0.0,23.0,50.0,19.0,18.0,13.0,-2.0,88.2,-6.6,29.0,61.0,8.0,Oregon
MN,78.0,20.0,20.0,18.0,20.0,686.8,165.8,142106.8,448.3,7.0,50.0,25.0,22.0,3.0,-5.6,-4.6,17.2,26.0,48.0,14.0,22.0,12.0,-2.7,72.4,-6.8,31.0,59.0,10.0,Minnesota
AK,78.0,20.0,23.0,11.0,23.0,698.1,115.5,128994.1,590.1,8.0,43.0,10.0,6.0,27.0,27.6,4.2,-3.5,36.0,34.0,1.0,28.0,5.0,-6.9,38.8,-8.8,39.0,52.0,26.0,Alaska
RI,77.0,22.0,7.0,23.0,25.0,548.7,265.6,156249.8,880.2,9.0,55.0,8.0,28.0,19.0,33.1,-8.5,3.5,20.0,27.0,14.0,8.0,6.0,-2.9,133.7,-8.5,44.0,53.0,23.0,Rhode Island
MA,75.0,21.0,5.0,24.0,25.0,606.6,275.3,162378.1,759.5,10.0,82.0,23.0,30.0,29.0,-0.4,-9.8,-6.1,4.0,23.0,15.0,3.0,5.0,-2.6,166.3,-8.7,45.0,60.0,9.0,Massachusetts
