state,overall_score,hospitalizations_score,deaths_score,vax_score,covid_testing_score,state_!!hospitalizations,per_100k_!!hospitalizations,std_dev_!!hospitalizations,zscore_!!hospitalizations,percentile_!!hospitalizations,score_!!hospitalizations,state_!!deaths,tot_death_!!deaths,state_y_!!deaths,population_!!deaths,pop_over_85_pct_!!deaths,pop_75_84_pct_!!deaths,pop_65_74_pct_!!deaths,pop_50_64_pct_!!deaths,pop_40_49_pct_!!deaths,pop_30_39pct_!!deaths,pop_under_30_pct_!!deaths,Estimate!!Percent!!Total population!!AGE!!Under 5 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!5 to 9 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!10 to 14 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!15 to 19 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!20 to 24 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!25 to 29 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!30 to 34 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!35 to 39 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!40 to 44 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!45 to 49 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!50 to 54 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!55 to 59 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!60 to 64 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!65 to 69 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!70 to 74 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!75 to 79 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!80 to 84 years_!!deaths,Estimate!!Percent!!Total population!!AGE!!85 years and over_!!deaths,state_abbrv_!!deaths,deaths_per_capita_!!deaths,per_100k_!!deaths,std_dev_!!deaths,zscore_!!deaths,percentile_!!deaths,score_!!deaths,Date_!!vax,Administered_!!vax,population_!!vax,Admin_per_100k_!!vax,state_!!vax,std_dev_!!vax,zscore_!!vax,percentile_!!vax,score_!!vax,testing_per_100k_!!covid_testing,test_per_hosp_!!covid_testing,state_!!covid_testing,zscore_!!covid_testing,percentile_!!covid_testing,score_!!covid_testing
VT,98.39485797724343,23.948229957168515,24.767560178064723,24.679140062306942,24.999927779703253,VT,324.68895637691907,419.9936053556361,-1.7271451234509356,0.9579291982867406,23.948229957168515,VT,388,Vermont,643077,2.3,5.7,12.0,21.8,11.6,11.5,35.1,4.7,5.0,5.1,6.9,6.9,6.5,5.8,5.7,5.7,5.9,6.6,7.1,8.1,6.6,5.4,3.6,2.1,2.3,VT,0.0006033492101256925,60.33492101256926,68.70787109200695,-2.3535484228280117,0.990702407122589,24.767560178064723,2021-11-24,1101607,643077,171302.5034327149,VT,17720.328916701328,2.231186240564725,0.9871656024922777,24.679140062306942,418035.7873162934,1287.4961685823757,VT,4.5343679383879945,0.9999971111881302,24.999927779703253
ME,93.40260133656874,23.276033068053053,24.177277564865697,23.818533693234183,22.13075701041581,ME,426.97996636716164,419.9936053556361,-1.4835913914753593,0.9310413227221221,23.276033068053053,ME,1303,Maine,1362359,2.6,6.0,12.6,22.6,12.0,11.9,32.3,4.7,4.8,5.4,5.8,5.5,6.1,6.1,5.8,5.7,6.3,6.9,7.6,8.1,6.9,5.7,3.7,2.3,2.6,ME,0.0009564292524951206,95.64292524951205,68.70787109200695,-1.8396625510090217,0.9670911025946279,24.177277564865697,2021-11-24,2198768,1362359,161394.169965479,ME,17720.328916701328,1.6720355885755656,0.9527413477293674,23.818533693234183,224622.51139383967,526.0727178958226,ME,1.2015460898793677,0.8852302804166323,22.13075701041581
NH,85.350003716223,21.973306381117077,23.17394006046435,22.281110316809208,17.921646957832362,NH,558.8267107262352,419.9936053556361,-1.1696657919476467,0.8789322552446831,21.973306381117077,NH,1683,New Hampshire,1377529,2.1,5.3,11.2,22.8,12.1,12.1,34.1,4.7,4.9,5.6,6.4,6.2,6.3,6.2,5.9,5.8,6.3,7.1,8.1,7.6,6.2,5.0,3.2,2.1,2.1,NH,0.0012217528632791034,122.17528632791033,68.70787109200695,-1.4535006650895945,0.9269576024185741,23.17394006046435,2021-11-24,2116124,1377529,153617.38300972249,NH,17720.328916701328,1.2331731389950205,0.8912444126723683,22.281110316809208,213807.5496051263,382.60080540400105,NH,0.5735560743775963,0.7168658783132945,17.921646957832362
HI,83.05077643724064,22.75712396653452,24.676135491423583,18.070495812087106,17.54702116719544,HI,486.2324611704624,419.9936053556361,-1.34251187491194,0.9102849586613808,22.75712396653452,HI,1004,Hawaii,1455271,2.7,5.5,10.8,18.6,11.8,13.9,36.7,6.0,6.0,5.8,5.5,6.3,7.1,6.7,7.2,5.9,5.9,6.0,6.2,6.4,6.0,4.8,3.5,2.0,2.7,HI,0.0006899058663300512,68.99058663300511,68.70787109200695,-2.2275706347978015,0.9870454196569434,24.676135491423583,2021-11-24,2070008,1455271,142242.09786355944,HI,17720.328916701328,0.5912389401641005,0.7228198324834842,18.070495812087106,181174.2280303806,372.60825325042396,HI,0.529817736518715,0.7018808466878176,17.54702116719544
WA,79.37141350141977,23.068914124115828,23.305077750087257,19.61196276793824,13.385458859278451,WA,452.0665761573134,419.9936053556361,-1.4238604587414925,0.9227565649646331,23.068914124115828,WA,9208,Washington,7705281,1.7,4.5,9.6,18.6,12.6,14.7,38.2,6.0,6.0,6.3,6.0,6.2,7.7,7.6,7.1,6.4,6.2,6.0,6.3,6.3,5.3,4.3,2.8,1.7,1.7,WA,0.0011950245552368563,119.50245552368563,68.70787109200695,-1.4924020422061335,0.9322031100034903,23.305077750087257,2021-11-24,11228003,7705281,145718.28074797013,WA,17720.328916701328,0.787408147900104,0.7844785107175296,19.61196276793824,122905.47223391334,271.8747165044642,WA,0.088897599580765,0.535418354371138,13.385458859278451
OR,78.76147333695964,22.7514093133399,23.24536617693547,19.092031535939707,13.672666310744566,OR,486.82449207694793,419.9936053556361,-1.3411022560536139,0.910056372533596,22.7514093133399,OR,5116,Oregon,4237256,2.0,5.0,11.0,18.7,12.7,14.3,36.1,5.3,5.6,6.0,5.9,6.3,7.0,7.1,7.2,6.5,6.2,5.9,6.2,6.6,6.0,5.0,3.1,1.9,2.0,OR,0.0012073851568090291,120.7385156809029,68.70787109200695,-1.474411961338076,0.9298146470774188,23.24536617693547,2021-11-24,6122487,4237256,144491.78902572798,OR,17720.328916701328,0.7181943241608513,0.7636812614375883,19.092031535939707,135575.3582035166,278.4891894512313,OR,0.11784976796154913,0.5469066524297826,13.672666310744566
MN,78.13945474111067,20.160958850598643,19.835952997222627,18.006421584225247,20.136121309064148,MN,686.849053026254,419.9936053556361,-0.8648460502479753,0.8064383540239457,20.160958850598643,MN,9462,Minnesota,5706494,2.0,4.9,9.5,19.6,11.9,13.6,38.5,6.2,6.4,6.6,6.4,6.1,6.8,6.8,6.8,6.1,5.8,6.1,6.9,6.6,5.4,4.1,2.9,2.0,2.0,MN,0.0016581109171410677,165.81109171410677,68.70787109200695,-0.8184088671242119,0.7934381198889051,19.835952997222627,2021-11-24,8109317,5706494,142106.81725066213,MN,17720.328916701328,0.583604735769068,0.7202568633690098,18.006421584225247,307930.806551273,448.3238423268274,MN,0.8612319703711201,0.8054448523625659,20.136121309064148
AK,77.67940196454143,19.97457111532226,23.488092146036447,10.946690616029725,23.270048087152993,AK,698.1269200194712,419.9936053556361,-0.8379935771402777,0.7989828446128904,19.97457111532226,AK,847,Alaska,733391,0.9,3.0,8.4,19.1,11.8,14.6,42.2,7.0,7.2,6.8,6.4,6.5,8.3,7.9,6.7,6.0,5.8,6.1,6.7,6.3,4.9,3.5,1.9,1.1,0.9,AK,0.001154909182141586,115.49091821415861,68.70787109200695,-1.5507874534518866,0.9395236858414578,23.488092146036447,2021-11-24,946031,733391,128994.08364705867,AK,17720.328916701328,-0.15637778178142608,0.437867624641189,10.946690616029725,411963.19562143524,590.0978515625001,AK,1.4817901040945662,0.9308019234861197,23.270048087152993
RI,76.50341368170773,22.0932747508439,6.57245861886184,22.91181439254391,24.925865919458072,RI,548.6709696467674,419.9936053556361,-1.1938464960106725,0.883730990033756,22.0932747508439,RI,2915,Rhode Island,1097379,2.5,5.0,10.2,21.1,11.3,13.3,36.7,5.2,4.6,5.9,6.8,7.0,7.2,6.8,6.5,5.3,6.0,6.8,6.9,7.4,5.8,4.4,3.2,1.8,2.5,RI,0.002656329308288203,265.6329308288203,68.70787109200695,0.6344354362750558,0.2628983447544736,6.57245861886184,2021-11-24,1714653,1097379,156249.84622450403,RI,17720.328916701328,1.3817292536786738,0.9164725757017563,22.91181439254391,482939.2579956424,880.1983059292478,RI,2.7515869979307017,0.9970346367783228,24.925865919458072
MA,75.46563951288628,21.361941601328798,5.481870776272474,23.949167407472878,24.672659727812132,MA,606.6358962701836,419.9936053556361,-1.0558326646468985,0.854477664053152,21.361941601328798,MA,19351,Massachusetts,7029917,2.3,4.9,9.8,20.4,12.2,13.5,36.9,5.2,5.2,5.7,6.5,7.0,7.3,7.1,6.4,6.0,6.2,6.8,7.0,6.6,5.4,4.4,3.0,1.9,2.3,MA,0.0027526640783952358,275.26640783952354,68.70787109200695,0.7746446562318643,0.21927483105089896,5.481870776272474,2021-11-24,11415048,7029917,162378.13334069235,MA,17720.328916701328,1.7275629650615614,0.9579666962989151,23.949167407472878,460760.03457793314,759.5330863386953,MA,2.2234240160263843,0.9869063891124853,24.672659727812132
