state,overall_score,food_score,expenses_score,violent_crime_score,Number_!!food,Margin of Error +/-_!!food,Percent_avg_!!food,MOE +/-_!!food,Measure Universe_!!food,Total Population age 18+_!!food,Percent_wk1_!!food,percent_over_wk1_!!food,state_!!food,std_dev_!!food,zscore_!!food,percentile_!!food,score_!!food,Number_!!expenses,Margin of Error +/-_!!expenses,Percent_avg_!!expenses,MOE +/-_!!expenses,Measure Universe_!!expenses,Total Population age 18+_!!expenses,Percent_wk1_!!expenses,percent_over_wk1_!!expenses,state_!!expenses,std_dev_!!expenses,zscore_!!expenses,percentile_!!expenses,score_!!expenses,population_19_!!violent_crime,year_19_!!violent_crime,violent_crime_19_!!violent_crime,violent_crime_20_!!violent_crime,crimes_per_100k_19_!!violent_crime,crimes_per_100k_20_!!violent_crime,change_19_20_raw_!!violent_crime,state_!!violent_crime,std_dev_!!violent_crime,zscore_!!violent_crime,percentile_!!violent_crime,score_!!violent_crime
HI,88.7519586084681,28.39959424994605,32.29045922062312,28.061905137898936,82033.07894736843,26631.236842105263,8.34736842105263,2.6894736842105265,979882.2894736842,1070927.5263157894,10.0,0.834736842105263,HI,0.2813963782595026,-1.044997027611502,0.8519878283503692,28.39959424994605,324974.3461538461,44372.5,32.06923076923077,4.273076923076923,1010149.0384615385,1069865.3076923077,37.3,0.8597648999793773,HI,0.06565716671184925,-1.8622174564515002,0.9687137775874073,32.29045922062312,1415615.0,2019.0,3745.0,3576.0,264.54933014979355,254.15669869211646,0.9548731642189586,HI,0.09538948315591335,-1.0021198953461126,0.8418571549788253,28.061905137898936
NJ,85.42241857249374,30.465642623446836,26.031310332992117,28.925465616054794,529021.8684210526,136929.55263157896,8.93421052631579,2.2842105263157895,5912439.605263158,6773808.105263158,12.0,0.7445175438596491,NJ,0.2813963782595026,-1.365609889808378,0.9139692796173744,30.465642623446836,1885308.1538461538,198582.1923076923,30.26153846153846,3.126923076923077,6204117.961538462,6772417.076923077,32.5,0.9311242603550296,NJ,0.06565716671184925,-0.7753694557019654,0.7809393107707028,26.031310332992117,8891258.0,2019.0,18382.0,17353.0,206.74239798237775,195.36450346422143,0.944021325209444,NJ,0.09538948315591335,-1.115883369583386,0.8677639693494078,28.925465616054794
MD,84.52274016403497,24.255557624016216,28.171502188196857,32.0956803518219,427365.9736842105,93313.71052631579,10.35,2.2394736842105263,4112423.6842105263,4586551.157894737,10.8,0.9583333333333333,MD,0.2813963782595026,-0.6057714341886539,0.7276667294481532,24.255557624016216,1251311.423076923,125968.84615384616,29.107692307692307,2.896153846153846,4289442.615384615,4586380.923076923,31.8,0.915336236090953,MD,0.06565716671184925,-1.0158310085643623,0.8451450664910508,28.171502188196857,6054954.0,2019.0,27511.0,24215.0,454.35522714127967,399.86446056195365,0.8801933771945767,MD,0.09538948315591335,-1.7850131929470485,0.9628704115175273,32.0956803518219
MA,81.63530452597661,22.733190106680414,29.63815213438876,29.26396228490744,341190.65789473685,84664.71052631579,7.168421052631579,1.7552631578947369,4758870.947368421,5319502.47368421,7.2,0.9956140350877192,MA,0.2813963782595026,-0.4732867803882918,0.6819957038824082,22.733190106680414,1263734.8461538462,126292.30769230769,25.430769230769233,2.4884615384615385,4955580.846153846,5317396.692307692,28.2,0.9018003273322424,MA,0.06565716671184925,-1.2219914238944354,0.8891445649208074,29.63815213438876,6894883.0,2019.0,22662.0,21288.0,328.6785287001969,308.809334606403,0.939369870267408,MA,0.09538948315591335,-1.1646461344935728,0.8779188694251421,29.26396228490744
IN,78.03254768181935,19.43855474623909,31.54530306442879,27.04868987115146,454313.6052631579,104396.78947368421,10.055263157894737,2.281578947368421,4508900.815789473,5019878.2105263155,9.4,1.0697088465845466,IN,0.2813963782595026,-0.20997560362361625,0.5831566429703294,19.43855474623909,1352524.8846153845,146139.03846153847,28.74230769230769,3.026923076923077,4696210.153846154,5021875.846153846,32.8,0.8762898686679175,IN,0.06565716671184925,-1.6105317758758586,0.9463590928792228,31.54530306442879,6731010.0,2019.0,25006.0,24161.0,371.50442504170996,357.6782843640807,0.9662081100535871,IN,0.09538948315591335,-0.8832918499514062,0.8114606969460045,27.04868987115146
IL,74.84115374333629,26.812566769253714,27.082802912128198,20.94578406195439,797258.8157894737,188099.07894736843,9.407894736842104,2.205263157894737,8420442.94736842,9525364.631578946,10.6,0.8875372393247268,IL,0.2813963782595026,-0.8573599387973327,0.8043770038819884,26.812566769253714,2631652.4615384615,264045.3461538461,29.93076923076923,2.9076923076923076,8758503.5,9515644.923076924,32.4,0.9237891737891738,IL,0.06565716671184925,-0.8870874437480749,0.81248408817633,27.082802912128198,12667017.0,2019.0,52601.0,53612.0,415.2595674261746,425.9135827283033,1.0192201669169787,IL,0.09538948315591335,-0.3275486473517671,0.6283735224870053,20.94578406195439
VA,71.41198574969891,23.235898754259747,24.85001750420299,23.326069491236172,489379.1052631579,125351.84210526316,8.360526315789473,2.121052631578947,5840972.921052632,6485023.105263158,8.5,0.9835913312693497,VA,0.2813963782595026,-0.5160119351778896,0.6970769633248693,23.235898754259747,1662247.076923077,192527.65384615384,27.315384615384616,3.0999999999999996,6071545.076923077,6490693.615384615,29.1,0.9386730108379593,VA,0.06565716671184925,-0.6603972316329765,0.7455005258715903,24.85001750420299,8556642.0,2019.0,17916.0,17925.0,209.38120351418232,208.65919963569326,1.0005023442732752,VA,0.09538948315591335,-0.5237738707666937,0.6997820854368673,23.326069491236172
CT,67.17513271300395,21.610895901277573,20.02302293236911,25.54121387935726,224009.26315789475,58301.39473684211,9.194736842105263,2.365789473684211,2431832.6578947366,2729814.8947368423,9.0,1.0216374269005848,CT,0.2813963782595026,-0.38080729655901896,0.6483268776866541,21.610895901277573,734362.3846153846,81747.15384615384,28.765384615384615,3.119230769230769,2547438.923076923,2728611.153846154,29.8,0.9652813629323697,CT,0.06565716671184925,-0.2551352712564816,0.600690688571764,20.02302293236911,3566022.0,2019.0,6583.0,6459.0,184.60346010204088,181.5852995468661,0.9811636032204162,CT,0.09538948315591335,-0.7265083904752241,0.7662364171469542,25.54121387935726
FL,66.50170430754635,14.603420498870245,31.797397113881416,20.100886694794692,1778527.7631578948,331289.8947368421,11.726315789473684,2.1578947368421053,15124162.842105264,17138845.315789472,10.0,1.1726315789473685,FL,0.2813963782595026,0.1557815287155462,0.43810261540420997,14.603420498870245,5244310.461538462,437145.57692307694,33.11538461538461,2.7038461538461536,15814593.26923077,17163519.307692308,38.0,0.8714574898785424,FL,0.06565716671184925,-1.6841319482771897,0.9539219143703644,31.797397113881416,21492056.0,2019.0,81291.0,83368.0,378.2374287504183,383.59546855996916,1.0255501839071977,FL,0.09538948315591335,-0.261188952542722,0.6030266014468674,20.100886694794692
NM,65.46513908930902,16.009729644171873,20.7925520041432,28.662857440993946,159738.65789473685,41228.47368421053,11.08421052631579,2.807894736842105,1439810.8157894737,1594211.3684210526,9.7,1.14270211611503,NM,0.2813963782595026,0.04942101683739501,0.4802918898054481,16.009729644171873,517061.46153846156,54139.230769230766,34.41538461538461,3.5115384615384615,1498942.1923076923,1596351.6923076923,35.8,0.9613235926085087,NM,0.06565716671184925,-0.3154146058983562,0.6237765607480725,20.7925520041432,2099634.0,2019.0,17302.0,16393.0,824.0483817655839,778.2771745400388,0.9474627210727083,NM,0.09538948315591335,-1.079806060540424,0.8598857240897041,28.662857440993946
WA,65.2518331637105,18.15963996724041,21.257537084299983,25.83465611217011,407397.7631578947,90906.47368421052,7.4605263157894735,1.6500000000000001,5445835.47368421,5909294.578947368,6.8,1.0971362229102166,WA,0.2813963782595026,-0.11250677159630196,0.5447891995620014,18.15963996724041,1413435.5,130478.34615384616,25.123076923076926,2.292307692307692,5617288.115384615,5918035.0,26.2,0.9588960657662949,WA,0.06565716671184925,-0.352387368565188,0.6377261131667256,21.257537084299983,7614024.0,2019.0,23095.0,22596.0,303.3218702751659,293.6982005331176,0.9783935916865122,WA,0.09538948315591335,-0.7555473520280027,0.7750396841401429,25.83465611217011
MI,64.71920745248045,22.367884712636044,30.768359665328312,11.582963074516089,642152.2105263158,138008.7105263158,9.439473684210526,2.0026315789473683,6787855.184210527,7640281.052631579,9.4,1.0041993281075028,MI,0.2813963782595026,-0.442777173004979,0.6710365420501179,22.367884712636044,1975309.6538461538,207597.6923076923,27.896153846153844,2.8615384615384616,7062796.807692308,7638353.230769231,31.4,0.8884125428711416,MI,0.06565716671184925,-1.4258958128830128,0.9230507908829002,30.768359665328312,9984795.0,2019.0,43793.0,47641.0,438.5968865660236,478.008700097476,1.0878679240974585,MI,0.09538948315591335,0.3921088548099289,0.34748889258297155,11.582963074516089
