Date,Administered,population,Admin_per_100k,state,std_dev,zscore,percentile
2021-11-24,1689798,1793716,94206.55220781885,WV,17720.328916701328,-2.119520317270862,0.01702325928797439
2021-11-24,1860658,1839106,101171.87372560364,ID,17720.328916701328,-1.7264507782952052,0.04213317362891621
2021-11-24,5191035,5024279,103319.00358240456,AL,17720.328916701328,-1.6052831709164697,0.05421575052502695
2021-11-24,3179082,2961279,107355.0313901527,MS,17720.328916701328,-1.3775205923142069,0.0841756763437631
2021-11-24,623826,576851,108143.35070928195,WY,17720.328916701328,-1.3330338718455894,0.0912603442327139
2021-11-24,5162105,4657757,110828.13036403574,LA,17720.328916701328,-1.1815254169306586,0.11869703125279091
2021-11-24,7716326,6785528,113717.39973661593,IN,17720.328916701328,-1.0184771244208581,0.15422563330876482
2021-11-24,886167,779094,113743.27103019661,ND,17720.328916701328,-1.0170171462397364,0.1545726363778011
2021-11-24,12185763,10711908,113759.03340469317,GA,17720.328916701328,-1.0161276382305653,0.1547843046435176
2021-11-24,3474961,3011524,115388.78654129936,AR,17720.328916701328,-0.9241568207436419,0.17770233658274642
2021-11-24,8081410,6910840,116938.17249422646,TN,17720.328916701328,-0.8367213131856073,0.20137461805638057
2021-11-24,5346850,4505836,118664.99357721853,KY,17720.328916701328,-0.7392727222983043,0.22987070479184102
2021-11-24,7329322,6154913,119080.83834816187,MO,17720.328916701328,-0.7158056200284697,0.2370556908601168
2021-11-24,6118807,5118425,119544.72323029056,SC,17720.328916701328,-0.6896275008575842,0.24521423424754024
2021-11-24,14192281,11799448,120279.19441655237,OH,17720.328916701328,-0.6481795576667793,0.25843441103253545
2021-11-24,1309960,1084225,120819.9405105029,MT,17720.328916701328,-0.6176639788368133,0.26839843060682805
2021-11-24,4822388,3959353,121797.37447002073,OK,17720.328916701328,-0.5625050726950315,0.2868859742232863
2021-11-24,4001214,3271616,122300.84459789902,UT,17720.328916701328,-0.5340930646423044,0.29663857390854953
2021-11-24,3644839,2937880,124063.57645649243,KS,17720.328916701328,-0.4346179438993681,0.3319198840641927
2021-11-24,12554249,10077331,124579.10730529741,MI,17720.328916701328,-0.4055253208883419,0.3425457049679893
2021-11-24,3908996,3104614,125909.24346794802,NV,17720.328916701328,-0.3304625966633438,0.37052522507240027
2021-11-24,36862434,29145505,126477.25266726379,TX,17720.328916701328,-0.29840849642706524,0.3826957025504066
2021-11-24,1135140,886667,128023.26014163153,SD,17720.328916701328,-0.2111636443910156,0.41637978932701203
2021-11-24,13378128,10439388,128150.5007764823,NC,17720.328916701328,-0.2039831549402334,0.41918333128370655
2021-11-24,946031,733391,128994.08364705867,AK,17720.328916701328,-0.15637778178142608,0.437867624641189
2021-11-24,4130627,3190369,129471.76329759974,IA,17720.328916701328,-0.12942119125838764,0.44851219024688016
2021-11-24,2557474,1961504,130383.31810692203,NE,17720.328916701328,-0.0779800011085167,0.46892198067312724
2021-11-24,9458251,7151502,132255.44787654397,AZ,17720.328916701328,0.02766870205169762,0.5110368068566953
2021-11-24,8080069,5893718,137096.29473279856,WI,17720.328916701328,0.3008491198086228,0.6182352248550749
2021-11-24,17604565,12812508,137401.3971347374,IL,17720.328916701328,0.318066768723214,0.6247828548120316
2021-11-24,18031448,13002700,138674.64449691217,PA,17720.328916701328,0.3899191236179775,0.6517018238270005
2021-11-24,1387212,989948,140129.7845947464,DE,17720.328916701328,0.4720361150504991,0.6815494946588999
2021-11-24,30501707,21538187,141616.87332364605,FL,17720.328916701328,0.5559560431675267,0.7108795476396574
2021-11-24,8109317,5706494,142106.81725066213,MN,17720.328916701328,0.583604735769068,0.7202568633690098
2021-11-24,2070008,1455271,142242.09786355944,HI,17720.328916701328,0.5912389401641005,0.7228198324834842
2021-11-24,13301118,9288994,143192.23373381444,NJ,17720.328916701328,0.6448573506756293,0.7404901838309106
2021-11-24,6122487,4237256,144491.78902572798,OR,17720.328916701328,0.7181943241608513,0.7636812614375883
2021-11-24,11228003,7705281,145718.28074797013,WA,17720.328916701328,0.787408147900104,0.7844785107175296
2021-11-24,29477691,20201249,145920.14087841797,NY,17720.328916701328,0.7987995916705175,0.7877966863178892
2021-11-24,3091322,2117522,145987.71583010707,NM,17720.328916701328,0.8026130057446446,0.7889007756168216
2021-11-24,8488178,5773714,147014.17493142196,CO,17720.328916701328,0.860538516390638,0.8052538693203926
2021-11-24,58715000,39538223,148501.86868539843,CA,17720.328916701328,0.9444925875012661,0.8275410060200966
2021-11-24,12883121,8631393,149258.8855587968,VA,17720.328916701328,0.9872128370495069,0.8382308450228932
2021-11-24,9329572,6177224,151031.79033170888,MD,17720.328916701328,1.0872620393665762,0.861539490052313
2021-11-24,2116124,1377529,153617.38300972249,NH,17720.328916701328,1.2331731389950205,0.8912444126723683
2021-11-24,1714653,1097379,156249.84622450403,RI,17720.328916701328,1.3817292536786738,0.9164725757017563
2021-11-24,2198768,1362359,161394.169965479,ME,17720.328916701328,1.6720355885755656,0.9527413477293674
2021-11-24,11415048,7029917,162378.13334069235,MA,17720.328916701328,1.7275629650615614,0.9579666962989151
2021-11-24,5898047,3605944,163564.57560073034,CT,17720.328916701328,1.7945167030883862,0.9636346324846711
2021-11-24,1101607,643077,171302.5034327149,VT,17720.328916701328,2.231186240564725,0.9871656024922777
