State,Remote_weighted,Hybrid_weighted,InPerson_weighted,weighted_attendance
Alabama,19.44011269171258,14.312334955421361,53.492758728592264,87.24520637572621
Arizona,47.86762198512959,10.469293091597999,31.72730341833135,90.06421849505894
Arkansas,15.28815029074691,19.46983808508498,55.09147972265065,89.84946809848253
Connecticut,28.437842809990126,45.07176233174142,20.51708593741057,94.02669107914211
Delaware,40.98669617834227,40.12519620459987,4.17124069773145,85.28313308067358
Florida,28.18707920038803,0.8977469070251201,60.840041358138805,89.92486746555196
Georgia,33.55546818388436,13.5742534322322,41.561643987759844,88.69136560387639
Idaho,6.4045454625711296,35.02639009473978,44.01656769898565,85.44750325629656
Kansas,21.41695321945514,19.47641864865648,52.93882927567465,93.83220114378628
Kentucky,44.846168062798995,34.3909105030586,9.86075530036608,89.09783386622367
Maine,12.928177201062452,50.99301844797728,22.906335835290403,86.82753148433014
Michigan,37.320653569410304,12.499822420315079,33.04186546267572,82.8623414524011
Missouri,17.62702872786808,15.631615720869682,56.989826935693536,90.2484713844313
Nebraska,10.92087292078067,11.30972850203809,70.04771698298605,92.27831840580481
Nevada,70.74669475087464,13.148892506541152,7.0355267443811,90.9311140017969
New Jersey,51.63274081014807,30.865668116794204,2.92514316397866,85.42355209092094
North Carolina,41.607130278848814,40.02474821841792,6.1364434490037,87.76832194627045
Ohio,27.66327212133216,19.766104687205583,41.39147353754844,88.82085034608619
Oklahoma,15.41715905862283,16.67649111003576,53.42381442410895,85.51746459276754
Oregon,77.1095676940044,9.544972342150798,3.4381067099058997,90.09264674606109
Rhode Island,29.8995411759578,25.55590116032503,23.84066701041464,79.29610934669748
Vermont,10.54698176269066,43.62821289103065,31.408292643990922,85.58348729771222
Virginia,71.50178388284604,21.46061680247245,1.2823576532197898,94.24475833853829
Wisconsin,31.086952851688633,16.514583003386882,39.243069877991886,86.8446057330674
Alabama,18.23577612868908,19.237992204110164,49.937570528260004,87.41133886105925
Arizona,36.64511427311909,14.49157059531268,29.196570827630147,80.33325569606191
Arkansas,15.561378729274299,14.61904307265072,62.2368833020594,92.41730510398442
Connecticut,24.86230248032769,55.71606669147222,12.07728890344882,92.65565807524872
Delaware,41.73683772034416,46.96835211213875,3.47962390951644,92.18481374199935
Florida,26.948389479688604,0.8440916766659001,65.09275448460231,92.88523564095681
Georgia,31.81977583753215,15.01428117722982,45.29306553449769,92.12712254925967
Illinois,36.9621238885696,40.70873161873498,12.48519577688636,90.15605128419094
Kansas,18.7308697549095,19.15063460080588,52.82684315673996,90.70834751245533
Kentucky,40.49131278913824,35.88615436085823,13.18744049233336,89.56490764232984
Louisiana,11.19030494939075,12.64494345566259,66.09214495757932,89.92739336263267
Maine,11.748054563324999,53.455681101929606,23.91419631936925,89.11793198462387
Michigan,35.4941207056593,17.285770102543598,38.65068918401378,91.43057999221668
Mississippi,19.17276291061652,11.88862193064748,50.4534399556174,81.5148247968814
Missouri,16.413495189118873,18.072636652775248,57.099422230718076,91.5855540726122
Nebraska,9.14258856178515,4.2251787422551,81.07938084759829,94.44714815163854
Nevada,67.34374398278878,12.61314605302125,10.06592216839713,90.02281220420716
New Hampshire,22.04261458231086,33.96081763862425,33.6171092975321,89.6205415184672
